,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
82359, 157A TAMPINES ROAD SINGAPORE 535145 ,157A,NIL,1.362188,103.892054,535145,TAMPINES ROAD,34536.54301,38249.42229
128270, 133 QUEEN'S AVENUE SINGAPORE 758589 ,133,NIL,1.456322,103.831252,758589,QUEEN'S AVENUE,27769.97553,48658.16228
98465, 5 ANG MO KIO AVENUE 10 ARC LEARNING ACADEMY SINGAPORE 569739 ,5,ARC LEARNING ACADEMY,1.359639,103.85469,569739,ANG MO KIO AVENUE 10,30378.37596,37967.51207
11098, 264 QUEENSWAY UOB SPC QUEENSWAY SINGAPORE 149062 ,264,UOB SPC QUEENSWAY,1.291407,103.800928,149062,QUEENSWAY,24395.22589,30422.82131
129658, 384A YISHUN AVENUE 6 YISHUN GLEN SINGAPORE 761384 ,384A,YISHUN GLEN,1.430114,103.84878,761384,YISHUN AVENUE 6,29720.65764,45760.21057
88167, 2B SIMON LANE BLISS @ KOVAN SINGAPORE 546019 ,2B,BLISS @ KOVAN,1.36299,103.883225,546019,SIMON LANE,33554.04553,38338.04525
88326, 40 ROSYTH ROAD SINGAPORE 546206 ,40,NIL,1.362443,103.878151,546206,ROSYTH ROAD,32989.30125,38277.6125
21082, 18 TOMLINSON ROAD SINGAPORE 247858 ,18,NIL,1.30368,103.825652,247858,TOMLINSON ROAD,27146.76552,31779.8185
27146, 2 BIN TONG PARK SINGAPORE 269785 ,2,NIL,1.317989,103.797512,269785,BIN TONG PARK,24015.06113,33362.07753
309, 19 NORTH CANAL ROAD BOAT QUAY CONSERVATION AREA SINGAPORE 048831 ,19,BOAT QUAY CONSERVATION AREA,1.286464,103.848306,48831,NORTH CANAL ROAD,29667.976,29876.12611
83697, 50C LORONG AH SOO WATER TERRACE SINGAPORE 536748 ,50C,WATER TERRACE,1.350435,103.881463,536748,LORONG AH SOO,33357.93076,36949.80036
92905, 33 SUMMER PLACE SUMMER PLACE SINGAPORE 555731 ,33,SUMMER PLACE,1.357216,103.869362,555731,SUMMER PLACE,32011.21212,37699.62358
20206, 56A OXLEY ROAD VALLEY MANSION SINGAPORE 238641 ,56A,VALLEY MANSION,1.296555,103.840314,238641,OXLEY ROAD,28778.57669,30992.00769
68594, 3 SENNETT CLOSE SINGAPORE 466997 ,3,NIL,1.316211,103.939144,466997,SENNETT CLOSE,39777.36957,33165.66868
45263, 38 LORONG 17 GEYLANG SINGAPORE 388561 ,38,NIL,1.313793,103.878775,388561,LORONG 17 GEYLANG,33058.83069,32898.15888
